,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
17627,WheelsEMI,https://www.crunchbase.com/organization/wheelsemi,"Pune, Maharashtra, India",FinTech,Series B,2018-12-10,14000000.0,USD,14000000.0,51-100,14000000.0,USD,14000000.0,1.0,,,,,,2.0,,,,,2017-01-01,,,https://www.linkedin.com/company/wheelsemi/?originalSubdomain=in,Early Stage Venture,,,$10M to $50M
17641,Health Scholars,https://www.crunchbase.com/organization/health-scholars,"Westminster, Colorado, United States","Health Care, Hospital",Series B,2020-01-16,17000000.0,USD,17000000.0,11-50,17000000.0,USD,17000000.0,1.0,,,,,,,,,,For Profit,2017-01-01,https://twitter.com/healthscholars1,https://www.facebook.com/advancingmeded/,https://www.linkedin.com/company/healthscholars/,Early Stage Venture,,,$10M to $50M
17648,DustPhotonics,https://www.crunchbase.com/organization/dustphotonics,"Modi'in, HaMerkaz, Israel","Data Center, Manufacturing, Optical Communication, Telecommunications",Series B,2019-09-22,25000000.0,USD,25000000.0,11-50,25000000.0,USD,25000000.0,1.0,,,,,,2.0,,,,For Profit,2017-01-01,https://twitter.com/DustPhotonics,,https://www.linkedin.com/company/dustphotonics/,Early Stage Venture,,,$10M to $50M
17654,Anduril Industries,https://www.crunchbase.com/organization/anduril-industries,"Orange, California, United States","Aerospace, Artificial Intelligence, Computer Vision, Robotics, Sensor, Virtual Reality",Series B,2019-09-11,,,,51-100,41000000.0,USD,41000000.0,2.0,,,,,,5.0,,,,For Profit,2017-01-01,https://twitter.com/anduriltech,https://www.facebook.com/andurilindustries/,https://www.linkedin.com/company/18293159/,Early Stage Venture,,,$10M to $50M
17686,Aurora,https://www.crunchbase.com/organization/aurora-6292,"Palo Alto, California, United States","Automotive, Autonomous Vehicles, Machine Learning, Transportation",Series B,2019-06-12,70000000.0,USD,70000000.0,251-500,690000000.0,USD,690000000.0,3.0,Made Acquisitions,,,1.0,,3.0,,,,,2017-01-01,https://twitter.com/aurora_inno,,https://www.linkedin.com/company/aurora-inc./,Early Stage Venture,,,$10M to $50M
17697,ITILITE Technologies,https://www.crunchbase.com/organization/itilite,"Bangalore, Karnataka, India","Business Travel, Information Technology, Internet",Series B,2020-04-18,1000000000.0,INR,13071724.0,101-250,17271724.0,USD,17271724.0,3.0,,,,,,2.0,,,,,2017-01-01,,,https://www.linkedin.com/company/itilite/,Early Stage Venture,,,$1M to $10M
17710,PredictImmune,https://www.crunchbase.com/organization/predictimmune,"Cambridge, Cambridgeshire, United Kingdom","Biopharma, Biotechnology, Health Care, Life Science, Medical, Medical Device",Series B,2019-07-30,11000000.0,EUR,12274045.0,11-50,24404458.0,USD,24404458.0,4.0,,,,,,3.0,,,,For Profit,2017-01-01,https://www.twitter.com/predictimmune/,https://www.facebook.com/predictimmune,https://www.linkedin.com/company/predictimmune-limited/,Early Stage Venture,,,$1M to $10M
17717,Modern Health,https://www.crunchbase.com/organization/modern-health,"San Francisco, California, United States","Employee Benefits, Fitness, Health Care, Human Resources, Wellness",Series B,2020-01-15,31000000.0,USD,31000000.0,51-100,42400000.0,USD,42400000.0,3.0,,,,,,2.0,,,,For Profit,2017-01-01,https://twitter.com/modernhealthco,https://www.facebook.com/modernhealthco,https://www.linkedin.com/company/modern-health/,Early Stage Venture,,,$1M to $10M
17751,GOOGOLPLEX HOLDINGS BERHAD,https://www.crunchbase.com/organization/googolplex-holdings-berhad,"Petaling Jaya, Selangor, Malaysia","Property Development, Real Estate, Social",Series B,2018-12-01,10000000.0,MYR,2392399.0,101-250,12939000.0,MYR,3076500.0,3.0,,,,,,2.0,,,,For Profit,2017-01-01,,,,Early Stage Venture,,,$1M to $10M
17759,ExoCoBio,https://www.crunchbase.com/organization/exocobio,"Seoul, Seoul-t'ukpyolsi, South Korea","Biotechnology, Cosmetics, Pharmaceutical",Series B,2018-09-12,26700000.0,USD,26700000.0,11-50,37700000.0,USD,37700000.0,2.0,,,,,,,,,,For Profit,2017-01-01,,https://www.facebook.com/ExoCoBio/,https://www.linkedin.com/company-beta/13256722,Early Stage Venture,,,$1M to $10M
