,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
11121,Evensi,https://www.crunchbase.com/organization/evensi,"San Francisco, California, United States","Advertising Platforms, Artificial Intelligence, Event Management, Event Promotion, Events, Mobile, Ticketing",Undisclosed,2018-12-20,2500000.0,USD,2500000.0,11-50,4000000.0,USD,4000000.0,3.0,Made Acquisitions,,,1.0,,4.0,,,,For Profit,2016-01-01,https://twitter.com/evensi_app,https://www.facebook.com/Evensi/,https://www.linkedin.com/company/5165732/,,,,Less than $1M
11131,Current Media,https://www.crunchbase.com/organization/current,"Gibraltar, Gibraltar, Gibraltar","Blockchain, Media and Entertainment",Undisclosed,2018-01-01,40000000.0,USD,40000000.0,11-50,40000000.0,USD,40000000.0,1.0,,,,,,3.0,,,,,2016-01-01,https://twitter.com/Current_CRNC,https://www.facebook.com/CurrentCRNC/?ref=br_rs,https://www.linkedin.com/company/6574525/,,,,Less than $1M
11303,Hyfit,https://www.crunchbase.com/organization/hyfit,"Los Angeles, California, United States","Fitness, Health Care, Internet of Things, Sports, Wellness",Undisclosed,2017-06-01,1900000.0,USD,1900000.0,11-50,1900000.0,USD,1900000.0,1.0,,,,,,1.0,,,,For Profit,2016-01-01,https://twitter.com/hyfitltd,https://www.facebook.com/pg/HyfitHealth/,https://www.linkedin.com/company/hyfit,,,,Less than $1M
11304,Food For All,https://www.crunchbase.com/organization/food-for-all,"Cambridge, Massachusetts, United States","E-Commerce, Food and Beverage, Hospitality, Internet, Internet of Things, Nutrition, Restaurants",Undisclosed,2019-09-26,150000.0,USD,150000.0,11-50,150000.0,USD,150000.0,3.0,,,,,,3.0,,,,For Profit,2016-01-01,https://twitter.com/FoodForAllapp,https://www.facebook.com/FoodForAllapp/,https://www.linkedin.com/company/foodforall/,,,,Less than $1M
11562,AssuredLeads,https://www.crunchbase.com/organization/assuredleads,"Madison, Wisconsin, United States","B2B, Insurance, Lead Generation",Undisclosed,2017-01-01,150000.0,USD,150000.0,11-50,150000.0,USD,150000.0,1.0,,,,,,2.0,,,,For Profit,2016-01-01,,https://www.facebook.com/AssuredLeads/,https://www.linkedin.com/company/assured-leads-inc./,,,,Less than $1M
11566,Yolt,https://www.crunchbase.com/organization/yolt-2,"Amsterdam, Noord-Holland, The Netherlands","Apps, Financial Services, FinTech",Undisclosed,2016-10-18,,,,,,,,1.0,,,,,,,,,,For Profit,2016-01-01,https://www.twitter.com/getyolt,https://www.facebook.com/getyolt,https://www.linkedin.com/company/yolt-by-ing,,,,Less than $1M
11701,Carma,https://www.crunchbase.com/organization/carma,"Detroit, Michigan, United States","Auto Insurance, Consulting, Information Services, Information Technology, Software",Undisclosed,2018-04-25,,,,,,,,2.0,,,,,,3.0,,,,For Profit,2016-01-01,https://www.twitter.com/meetcarma,https://www.facebook.com/meetcarma,https://www.linkedin.com/company/carmacar/,,,,Less than $1M
12049,Kredivo,https://www.crunchbase.com/organization/kredivo,"Jakatra, Jakarta Raya, Indonesia","Credit Cards, Financial Services, FinTech, Lending, Payments",Undisclosed,2020-01-28,90000000.0,USD,90000000.0,1-10,110000000.0,USD,110000000.0,2.0,,,,,,1.0,,,,For Profit,2016-01-01,https://twitter.com/kredivo,https://www.facebook.com/kredivo/,,,,,$1M to $10M
12175,Bonsai,https://www.crunchbase.com/organization/bonsai-3,"Toronto, Ontario, Canada","Content, E-Commerce, Retail",Undisclosed,2020-01-23,4000000.0,CAD,3046913.0,11-50,10280000.0,CAD,7794683.0,5.0,,,,,,3.0,,,,For Profit,2016-01-01,,https://www.facebook.com/bonsaiapp/,https://www.linkedin.com/company/shopbonsai/,,,,$1M to $10M
12362,Hangar Technology,https://www.crunchbase.com/organization/hangar-technology,"Austin, Texas, United States","Cloud Computing, Drones, Enterprise Software, Robotics, Software",Undisclosed,2018-06-27,,,,11-50,6500000.0,USD,6500000.0,2.0,"Made Acquisitions, Was Acquired",AirMap,https://www.crunchbase.com/organization/noflyzone,1.0,,3.0,,,,For Profit,2016-01-01,https://twitter.com/hangartech,https://www.facebook.com/hangartechnology,https://www.linkedin.com/company/hangar-technology,M&A,Acquisition,2019-09-23,$1M to $10M
